Chrom	Strt	End	Relative Read Coverage	Sample
chr1	8500001	8600000	2.241	shattered
chr1	8600001	8700000	2.29	shattered
chr1	8700001	8800000	2.648	shattered
chr1	8800001	8900000	2.463	shattered
chr1	8900001	9000000	2.362	shattered
chr1	9000001	9100000	2.607	shattered
chr1	9100001	9200000	3.016	shattered
chr1	9200001	9300000	2.91	shattered
chr1	9300001	9400000	2.618	shattered
chr1	9400001	9500000	2.416	shattered
chr1	9500001	9600000	2.515	shattered
chr1	9600001	9700000	2.202	shattered
chr1	9700001	9800000	3.12	shattered
chr1	9800001	9900000	2.841	shattered
chr1	9900001	10000000	2.977	shattered
chr1	10000001	10100000	2.387	shattered
chr1	10100001	10200000	2.082	shattered
chr1	10200001	10300000	2.285	shattered
chr1	10300001	10400000	2.238	shattered
chr1	10400001	10500000	2.241	shattered
chr1	10500001	10600000	2.85	shattered
chr1	10600001	10700000	2.619	shattered
chr1	10700001	10800000	2.195	shattered
chr1	10800001	10900000	2.407	shattered
chr1	10900001	11000000	3.126	shattered
chr1	11000001	11100000	2.138	shattered
chr1	11100001	11200000	2.263	shattered
chr1	11200001	11300000	2.461	shattered
chr1	11300001	11400000	2.274	shattered
chr1	11400001	11500000	2.31	shattered
chr1	11500001	11600000	2.395	shattered
chr1	11600001	11700000	2.074	shattered
chr1	11700001	11800000	2.355	shattered
chr1	11800001	11900000	2.604	shattered
chr1	11900001	12000000	2.064	shattered
chr1	12000001	12100000	2.529	shattered
chr1	12100001	12200000	2.901	shattered
chr1	12200001	12300000	3.46	shattered
chr1	12300001	12400000	3.444	shattered
chr1	12400001	12500000	2.109	shattered
chr1	12500001	12600000	2.996	shattered
chr1	12600001	12700000	2.892	shattered
chr1	12700001	12800000	2.522	shattered
chr1	12800001	12900000	2.567	shattered
chr1	12900001	13000000	2.518	shattered
chr1	13000001	13100000	3.224	shattered
chr1	13100001	13200000	2.284	shattered
chr1	13200001	13300000	2.402	shattered
chr1	13300001	13400000	2.374	shattered
chr1	13400001	13500000	2.412	shattered
chr1	13500001	13600000	2.564	shattered
chr1	13600001	13700000	2.313	shattered
chr1	13700001	13800000	2.339	shattered
chr1	13800001	13900000	2.35	shattered
chr1	13900001	14000000	3.148	shattered
chr1	14000001	14100000	3.183	shattered
chr1	14100001	14200000	3.396	shattered
chr1	14200001	14300000	3.012	shattered
chr1	14300001	14400000	2.233	shattered
chr1	14400001	14500000	2.168	shattered
chr1	14500001	14600000	2.049	shattered
chr1	14600001	14700000	2.361	shattered
chr1	14700001	14800000	1.976	shattered
chr1	14800001	14900000	2.484	shattered
chr1	14900001	15000000	1.73	shattered
chr1	15000001	15100000	1.486	shattered
chr1	15100001	15200000	2.629	shattered
chr1	15200001	15300000	2.39	shattered
chr1	15300001	15400000	2.274	shattered
chr1	15400001	15500000	1.597	shattered
chr1	15500001	15600000	1.641	shattered
chr1	15600001	15700000	1.531	shattered
chr1	15700001	15800000	1.869	shattered
chr1	15800001	15900000	2.187	shattered
chr1	15900001	16000000	2.641	shattered
chr1	16000001	16100000	2.225	shattered
chr1	16100001	16200000	1.87	shattered
chr1	16200001	16300000	1.852	shattered
chr1	16300001	16400000	1.604	shattered
chr1	16400001	16500000	1.793	shattered
chr1	16500001	16600000	2.03	shattered
chr1	16600001	16700000	1.77	shattered
chr1	16700001	16800000	1.887	shattered
chr1	16800001	16900000	2.038	shattered
chr1	16900001	17000000	1.784	shattered
chr1	17000001	17100000	1.531	shattered
chr1	17100001	17200000	1.921	shattered
chr1	17200001	17300000	1.937	shattered
chr1	17300001	17400000	1.822	shattered
chr1	17400001	17500000	1.755	shattered
chr1	17500001	17600000	1.808	shattered
chr1	17600001	17700000	1.756	shattered
chr1	17700001	17800000	1.888	shattered
chr1	17800001	17900000	1.799	shattered
chr1	17900001	18000000	1.819	shattered
chr1	18000001	18100000	1.885	shattered
chr1	18100001	18200000	1.836	shattered
chr1	18200001	18300000	1.858	shattered
chr1	18300001	18400000	2.012	shattered
chr1	18400001	18500000	2.026	shattered
chr1	18500001	18600000	1.811	shattered
chr1	18600001	18700000	1.886	shattered
chr1	18700001	18800000	1.887	shattered
chr1	18800001	18900000	1.885	shattered
chr1	18900001	19000000	2.075	shattered
chr1	19000001	19100000	1.851	shattered
chr1	19100001	19200000	1.941	shattered
chr1	19200001	19300000	1.74	shattered
chr1	19300001	19400000	1.803	shattered
chr1	19400001	19500000	1.874	shattered
chr1	19500001	19600000	1.843	shattered
chr1	19600001	19700000	1.921	shattered
chr1	19700001	19800000	1.951	shattered
chr1	19800001	19900000	1.964	shattered
chr1	19900001	20000000	1.965	shattered
chr1	20000001	20100000	1.899	shattered
chr1	20100001	20200000	1.951	shattered
chr1	20200001	20300000	1.83	shattered
chr1	20300001	20400000	1.736	shattered
chr1	20400001	20500000	1.987	shattered
chr1	20500001	20600000	1.839	shattered
chr1	20600001	20700000	1.842	shattered
chr1	20700001	20800000	1.912	shattered
chr1	20800001	20900000	1.874	shattered
chr1	20900001	21000000	1.818	shattered
chr1	21000001	21100000	1.886	shattered
chr1	21100001	21200000	1.877	shattered
chr1	21200001	21300000	1.826	shattered
chr1	21300001	21400000	1.875	shattered
chr1	21400001	21500000	1.72	shattered
chr1	21500001	21600000	1.816	shattered
chr1	21600001	21700000	1.861	shattered
chr1	21700001	21800000	1.626	shattered
chr1	21800001	21900000	1.723	shattered
chr1	21900001	22000000	1.968	shattered
chr1	22000001	22100000	1.85	shattered
chr1	22100001	22200000	1.68	shattered
chr1	22200001	22300000	1.918	shattered
chr1	22300001	22400000	1.797	shattered
chr1	22400001	22500000	1.912	shattered
chr1	22500001	22600000	1.87	shattered
chr1	22600001	22700000	1.892	shattered
chr1	22700001	22800000	1.855	shattered
chr1	22800001	22900000	1.82	shattered
chr1	22900001	23000000	1.814	shattered
chr1	23000001	23100000	1.925	shattered
chr1	23100001	23200000	1.902	shattered
chr1	23200001	23300000	1.896	shattered
chr1	23300001	23400000	1.92	shattered
chr1	23400001	23500000	1.829	shattered
chr1	23500001	23600000	1.849	shattered
chr1	23600001	23700000	1.895	shattered
chr1	23700001	23800000	1.843	shattered
chr1	23800001	23900000	2.028	shattered
chr1	23900001	24000000	1.742	shattered
chr1	24000001	24100000	1.72	shattered
chr1	24100001	24200000	1.931	shattered
chr1	24200001	24300000	2.125	shattered
chr1	24300001	24400000	1.788	shattered
chr1	24400001	24500000	1.877	shattered
chr1	24500001	24600000	1.781	shattered
chr1	24600001	24700000	1.966	shattered
chr1	24700001	24800000	1.883	shattered
chr1	24800001	24900000	1.85	shattered
chr1	24900001	25000000	1.839	shattered
chr1	25000001	25100000	1.842	shattered
chr1	25100001	25200000	1.817	shattered
chr1	25200001	25300000	1.755	shattered
chr1	25300001	25400000	1.804	shattered
chr1	25400001	25500000	1.81	shattered
chr1	25500001	25600000	1.805	shattered
chr1	25600001	25700000	1.886	shattered
chr1	25700001	25800000	1.933	shattered
chr1	25800001	25900000	1.894	shattered
chr1	25900001	26000000	1.821	shattered
chr1	26000001	26100000	1.875	shattered
chr1	26100001	26200000	1.814	shattered
chr1	26200001	26300000	1.809	shattered
chr1	26300001	26400000	1.85	shattered
chr1	26400001	26500000	1.885	shattered
chr1	26500001	26600000	1.914	shattered
chr1	26600001	26700000	1.816	shattered
chr1	26700001	26800000	1.856	shattered
chr1	26800001	26900000	1.745	shattered
chr1	26900001	27000000	1.818	shattered
chr1	27000001	27100000	1.889	shattered
chr1	27100001	27200000	1.902	shattered
chr1	27200001	27300000	1.927	shattered
chr1	27300001	27400000	1.884	shattered
chr1	27400001	27500000	1.935	shattered
chr1	27500001	27600000	1.838	shattered
chr1	27600001	27700000	1.876	shattered
chr1	27700001	27800000	1.825	shattered
chr1	27800001	27900000	1.857	shattered
chr1	27900001	28000000	1.857	shattered
chr1	28000001	28100000	1.9	shattered
chr1	28100001	28200000	1.989	shattered
chr1	28200001	28300000	1.874	shattered
chr1	28300001	28400000	1.798	shattered
chr1	28400001	28500000	1.901	shattered
chr1	28500001	28600000	1.874	shattered
chr1	28600001	28700000	1.803	shattered
chr1	28700001	28800000	1.77	shattered
chr1	28800001	28900000	1.966	shattered
chr1	28900001	29000000	1.931	shattered
chr1	29000001	29100000	1.86	shattered
chr1	29100001	29200000	1.906	shattered
chr1	29200001	29300000	1.845	shattered
chr1	29300001	29400000	1.9	shattered
chr1	29400001	29500000	1.891	shattered
chr1	29500001	29600000	1.882	shattered
chr1	29600001	29700000	1.775	shattered
chr1	29700001	29800000	1.928	shattered
chr1	29800001	29900000	1.819	shattered
chr1	29900001	30000000	1.773	shattered
chr1	30000001	30100000	1.69	shattered
chr1	30100001	30200000	1.834	shattered
chr1	30200001	30300000	1.911	shattered
chr1	30300001	30400000	1.964	shattered
chr1	30400001	30427671	1.936	shattered
chr2	1	100000	2.902	shattered
chr2	100001	200000	1.834	shattered
chr2	200001	300000	1.796	shattered
chr2	300001	400000	1.862	shattered
chr2	400001	500000	1.922	shattered
chr2	500001	600000	1.832	shattered
chr2	600001	700000	1.98	shattered
chr2	700001	800000	1.794	shattered
chr2	800001	900000	1.763	shattered
chr2	900001	1000000	1.967	shattered
chr2	1000001	1100000	1.982	shattered
chr2	1100001	1200000	1.92	shattered
chr2	1200001	1300000	1.638	shattered
chr2	1300001	1400000	1.773	shattered
chr2	1400001	1500000	1.892	shattered
chr2	1500001	1600000	1.917	shattered
chr2	1600001	1700000	1.93	shattered
chr2	1700001	1800000	1.836	shattered
chr2	1800001	1900000	1.619	shattered
chr2	1900001	2000000	1.696	shattered
chr2	2000001	2100000	1.649	shattered
chr2	2100001	2200000	1.84	shattered
chr2	2200001	2300000	1.766	shattered
chr2	2300001	2400000	1.82	shattered
chr2	2400001	2500000	1.595	shattered
chr2	2500001	2600000	1.749	shattered
chr2	2600001	2700000	1.233	shattered
chr2	2700001	2800000	1.576	shattered
chr2	2800001	2900000	1.513	shattered
chr2	2900001	3000000	1.684	shattered
chr2	3000001	3100000	1.417	shattered
chr2	3100001	3200000	1.403	shattered
chr2	3200001	3300000	3.35	shattered
chr2	3300001	3400000	3.637	shattered
chr2	3400001	3500000	3.761	shattered
chr2	3500001	3600000	2.473	shattered
chr2	3600001	3700000	1.527	shattered
chr2	3700001	3800000	1.644	shattered
chr2	3800001	3900000	1.383	shattered
chr2	3900001	4000000	1.66	shattered
chr2	4000001	4100000	1.623	shattered
chr2	4100001	4200000	1.523	shattered
chr2	4200001	4300000	1.647	shattered
chr2	4300001	4400000	1.597	shattered
chr2	4400001	4500000	1.225	shattered
chr2	4500001	4600000	1.568	shattered
chr2	4600001	4700000	1.562	shattered
chr2	4700001	4800000	1.699	shattered
chr2	4800001	4900000	1.379	shattered
chr2	4900001	5000000	1.563	shattered
chr2	5000001	5100000	1.696	shattered
chr2	5100001	5200000	1.627	shattered
chr2	5200001	5300000	1.238	shattered
chr2	5300001	5400000	1.71	shattered
chr2	5400001	5500000	1.777	shattered
chr2	5500001	5600000	1.811	shattered
chr2	5600001	5700000	1.747	shattered
chr2	5700001	5800000	1.743	shattered
chr2	5800001	5900000	1.538	shattered
chr2	5900001	6000000	1.845	shattered
chr2	6000001	6100000	1.515	shattered
chr2	6100001	6200000	1.889	shattered
chr2	6200001	6300000	1.709	shattered
chr2	6300001	6400000	1.787	shattered
chr2	6400001	6500000	1.828	shattered
chr2	6500001	6600000	1.834	shattered
chr2	6600001	6700000	1.77	shattered
chr2	6700001	6800000	1.735	shattered
chr2	6800001	6900000	1.91	shattered
chr2	6900001	7000000	1.753	shattered
chr2	7000001	7100000	1.793	shattered
chr2	7100001	7200000	2.386	shattered
chr2	7200001	7300000	1.914	shattered
chr2	7300001	7400000	1.782	shattered
chr2	7400001	7500000	1.837	shattered
chr2	7500001	7600000	1.916	shattered
chr2	7600001	7700000	1.786	shattered
chr2	7700001	7800000	1.812	shattered
chr2	7800001	7900000	1.883	shattered
chr2	7900001	8000000	1.858	shattered
chr2	8000001	8100000	1.91	shattered
chr2	8100001	8200000	1.975	shattered
chr2	8200001	8300000	1.819	shattered
chr2	8300001	8400000	1.75	shattered
chr2	8400001	8500000	1.885	shattered
chr2	8500001	8600000	1.834	shattered
chr2	8600001	8700000	1.841	shattered
chr2	8700001	8800000	1.992	shattered
chr2	8800001	8900000	1.821	shattered
chr2	8900001	9000000	1.74	shattered
chr2	9000001	9100000	1.813	shattered
chr2	9100001	9200000	1.675	shattered
chr2	9200001	9300000	1.98	shattered
chr2	9300001	9400000	1.755	shattered
chr2	9400001	9500000	1.874	shattered
chr2	9500001	9600000	2.013	shattered
chr2	9600001	9700000	1.844	shattered
chr2	9700001	9800000	1.896	shattered
chr2	9800001	9900000	1.925	shattered
chr2	9900001	10000000	1.945	shattered
chr2	10000001	10100000	1.872	shattered
chr2	10100001	10200000	1.999	shattered
chr2	10200001	10300000	1.89	shattered
chr2	10300001	10400000	1.855	shattered
chr2	10400001	10500000	1.981	shattered
chr2	10500001	10600000	2.046	shattered
chr2	10600001	10700000	1.836	shattered
chr2	10700001	10800000	1.779	shattered
chr2	10800001	10900000	1.832	shattered
chr2	10900001	11000000	1.8	shattered
chr2	11000001	11100000	1.802	shattered
chr2	11100001	11200000	1.9	shattered
chr2	11200001	11300000	1.87	shattered
chr2	11300001	11400000	1.881	shattered
chr2	11400001	11500000	1.732	shattered
chr2	11500001	11600000	1.834	shattered
chr2	11600001	11700000	1.824	shattered
chr2	11700001	11800000	1.849	shattered
chr2	11800001	11900000	1.875	shattered
chr2	11900001	12000000	1.92	shattered
chr2	12000001	12100000	1.829	shattered
chr2	12100001	12200000	1.939	shattered
chr2	12200001	12300000	1.885	shattered
chr2	12300001	12400000	2.029	shattered
chr2	12400001	12500000	1.761	shattered
chr2	12500001	12600000	1.647	shattered
chr2	12600001	12700000	1.806	shattered
chr2	12700001	12800000	1.826	shattered
chr2	12800001	12900000	1.825	shattered
chr2	12900001	13000000	1.928	shattered
chr2	13000001	13100000	1.864	shattered
chr2	13100001	13200000	1.866	shattered
chr2	13200001	13300000	1.785	shattered
chr2	13300001	13400000	1.902	shattered
chr2	13400001	13500000	1.795	shattered
chr2	13500001	13600000	1.844	shattered
chr2	13600001	13700000	1.841	shattered
chr2	13700001	13800000	1.856	shattered
chr2	13800001	13900000	1.912	shattered
chr2	13900001	14000000	1.834	shattered
chr2	14000001	14100000	1.875	shattered
chr2	14100001	14200000	1.945	shattered
chr2	14200001	14300000	1.897	shattered
chr2	14300001	14400000	1.777	shattered
chr2	14400001	14500000	1.828	shattered
chr2	14500001	14600000	1.844	shattered
chr2	14600001	14700000	1.723	shattered
chr2	14700001	14800000	1.806	shattered
chr2	14800001	14900000	1.869	shattered
chr2	14900001	15000000	1.863	shattered
chr2	15000001	15100000	1.845	shattered
chr2	15100001	15200000	1.738	shattered
chr2	15200001	15300000	1.848	shattered
chr2	15300001	15400000	1.893	shattered
chr2	15400001	15500000	1.789	shattered
chr2	15500001	15600000	1.874	shattered
chr2	15600001	15700000	1.839	shattered
chr2	15700001	15800000	1.913	shattered
chr2	15800001	15900000	1.836	shattered
chr2	15900001	16000000	1.87	shattered
chr2	16000001	16100000	1.832	shattered
chr2	16100001	16200000	1.765	shattered
chr2	16200001	16300000	1.895	shattered
chr2	16300001	16400000	1.779	shattered
chr2	16400001	16500000	1.815	shattered
chr2	16500001	16600000	1.839	shattered
chr2	16600001	16700000	1.78	shattered
chr2	16700001	16800000	1.963	shattered
chr2	16800001	16900000	1.85	shattered
chr2	16900001	17000000	1.871	shattered
chr2	17000001	17100000	1.845	shattered
chr2	17100001	17200000	1.868	shattered
chr2	17200001	17300000	1.824	shattered
chr2	17300001	17400000	1.742	shattered
chr2	17400001	17500000	1.899	shattered
chr2	17500001	17600000	1.791	shattered
chr2	17600001	17700000	1.938	shattered
chr2	17700001	17800000	1.81	shattered
chr2	17800001	17900000	1.829	shattered
chr2	17900001	18000000	1.733	shattered
chr2	18000001	18100000	1.834	shattered
chr2	18100001	18200000	1.813	shattered
chr2	18200001	18300000	1.853	shattered
chr2	18300001	18400000	1.906	shattered
chr2	18400001	18500000	1.79	shattered
chr2	18500001	18600000	1.802	shattered
chr2	18600001	18700000	1.84	shattered
chr2	18700001	18800000	1.901	shattered
chr2	18800001	18900000	1.98	shattered
chr2	18900001	19000000	1.935	shattered
chr2	19000001	19100000	1.974	shattered
chr2	19100001	19200000	1.875	shattered
chr2	19200001	19300000	1.873	shattered
chr2	19300001	19400000	1.911	shattered
chr2	19400001	19500000	1.901	shattered
chr2	19500001	19600000	1.819	shattered
chr2	19600001	19698289	1.744	shattered
chr3	1	100000	1.91	shattered
chr3	100001	200000	1.925	shattered
chr3	200001	300000	1.894	shattered
chr3	300001	400000	1.909	shattered
chr3	400001	500000	1.82	shattered
chr3	500001	600000	1.951	shattered
chr3	600001	700000	2.007	shattered
chr3	700001	800000	1.862	shattered
chr3	800001	900000	1.903	shattered
chr3	900001	1000000	1.891	shattered
chr3	1000001	1100000	1.905	shattered
chr3	1100001	1200000	1.838	shattered
chr3	1200001	1300000	1.97	shattered
chr3	1300001	1400000	1.934	shattered
chr3	1400001	1500000	1.931	shattered
chr3	1500001	1600000	1.923	shattered
chr3	1600001	1700000	1.929	shattered
chr3	1700001	1800000	1.969	shattered
chr3	1800001	1900000	1.86	shattered
chr3	1900001	2000000	1.813	shattered
chr3	2000001	2100000	1.897	shattered
chr3	2100001	2200000	1.838	shattered
chr3	2200001	2300000	1.809	shattered
chr3	2300001	2400000	1.822	shattered
chr3	2400001	2500000	1.853	shattered
chr3	2500001	2600000	1.798	shattered
chr3	2600001	2700000	1.997	shattered
chr3	2700001	2800000	1.871	shattered
chr3	2800001	2900000	1.765	shattered
chr3	2900001	3000000	1.975	shattered
chr3	3000001	3100000	1.859	shattered
chr3	3100001	3200000	1.844	shattered
chr3	3200001	3300000	1.878	shattered
chr3	3300001	3400000	1.925	shattered
chr3	3400001	3500000	1.888	shattered
chr3	3500001	3600000	1.78	shattered
chr3	3600001	3700000	1.886	shattered
chr3	3700001	3800000	1.936	shattered
chr3	3800001	3900000	1.843	shattered
chr3	3900001	4000000	1.866	shattered
chr3	4000001	4100000	1.816	shattered
chr3	4100001	4200000	1.783	shattered
chr3	4200001	4300000	1.757	shattered
chr3	4300001	4400000	1.828	shattered
chr3	4400001	4500000	1.795	shattered
chr3	4500001	4600000	1.812	shattered
chr3	4600001	4700000	1.766	shattered
chr3	4700001	4800000	1.941	shattered
chr3	4800001	4900000	1.764	shattered
chr3	4900001	5000000	1.859	shattered
chr3	5000001	5100000	1.888	shattered
chr3	5100001	5200000	1.971	shattered
chr3	5200001	5300000	1.926	shattered
chr3	5300001	5400000	1.836	shattered
chr3	5400001	5500000	1.838	shattered
chr3	5500001	5600000	1.758	shattered
chr3	5600001	5700000	1.828	shattered
chr3	5700001	5800000	1.769	shattered
chr3	5800001	5900000	1.774	shattered
chr3	5900001	6000000	1.789	shattered
chr3	6000001	6100000	1.861	shattered
chr3	6100001	6200000	1.773	shattered
chr3	6200001	6300000	1.966	shattered
chr3	6300001	6400000	1.949	shattered
chr3	6400001	6500000	1.863	shattered
chr3	6500001	6600000	1.915	shattered
chr3	6600001	6700000	1.865	shattered
chr3	6700001	6800000	1.872	shattered
chr3	6800001	6900000	1.906	shattered
chr3	6900001	7000000	1.83	shattered
chr3	7000001	7100000	1.914	shattered
chr3	7100001	7200000	1.723	shattered
chr3	7200001	7300000	1.772	shattered
chr3	7300001	7400000	1.916	shattered
chr3	7400001	7500000	1.888	shattered
chr3	7500001	7600000	1.771	shattered
chr3	7600001	7700000	1.981	shattered
chr3	7700001	7800000	1.769	shattered
chr3	7800001	7900000	1.796	shattered
chr3	7900001	8000000	1.884	shattered
chr3	8000001	8100000	1.857	shattered
chr3	8100001	8200000	1.947	shattered
chr3	8200001	8300000	1.933	shattered
chr3	8300001	8400000	1.877	shattered
chr3	8400001	8500000	1.752	shattered
chr3	8500001	8600000	1.779	shattered
chr3	8600001	8700000	1.818	shattered
chr3	8700001	8800000	1.754	shattered
chr3	8800001	8900000	1.773	shattered
chr3	8900001	9000000	1.991	shattered
chr3	9000001	9100000	1.824	shattered
chr3	9100001	9200000	1.796	shattered
chr3	9200001	9300000	1.914	shattered
chr3	9300001	9400000	1.931	shattered
chr3	9400001	9500000	1.848	shattered
chr3	9500001	9600000	1.994	shattered
chr3	9600001	9700000	1.756	shattered
chr3	9700001	9800000	1.772	shattered
chr3	9800001	9900000	1.923	shattered
chr3	9900001	10000000	1.855	shattered
chr3	10000001	10100000	1.929	shattered
chr3	10100001	10200000	1.899	shattered
chr3	10200001	10300000	1.907	shattered
chr3	10300001	10400000	1.888	shattered
chr3	10400001	10500000	1.715	shattered
chr3	10500001	10600000	1.775	shattered
chr3	10600001	10700000	1.795	shattered
chr3	10700001	10800000	1.87	shattered
chr3	10800001	10900000	1.891	shattered
chr3	10900001	11000000	1.775	shattered
chr3	11000001	11100000	1.804	shattered
chr3	11100001	11200000	1.816	shattered
chr3	11200001	11300000	1.98	shattered
chr3	11300001	11400000	1.778	shattered
chr3	11400001	11500000	1.722	shattered
chr3	11500001	11600000	1.625	shattered
chr3	11600001	11700000	1.539	shattered
chr3	11700001	11800000	1.922	shattered
chr3	11800001	11900000	1.741	shattered
chr3	11900001	12000000	1.647	shattered
chr3	12000001	12100000	1.788	shattered
chr3	12100001	12200000	1.558	shattered
chr3	12200001	12300000	1.768	shattered
chr3	12300001	12400000	1.524	shattered
chr3	12400001	12500000	1.572	shattered
chr3	12500001	12600000	1.775	shattered
chr3	12600001	12700000	1.661	shattered
chr3	12700001	12800000	1.452	shattered
chr3	12800001	12900000	1.438	shattered
chr3	12900001	13000000	1.437	shattered
chr3	13000001	13100000	1.182	shattered
chr3	13100001	13200000	1.423	shattered
chr3	13200001	13300000	1.679	shattered
chr3	13300001	13400000	1.116	shattered
chr3	13400001	13500000	1.463	shattered
chr3	13500001	13600000	1.695	shattered
chr3	13600001	13700000	1.185	shattered
chr3	13700001	13800000	1.013	shattered
chr3	13800001	13900000	1.121	shattered
chr3	13900001	14000000	1.225	shattered
chr3	14000001	14100000	1.472	shattered
chr3	14100001	14200000	2.791	shattered
chr3	14200001	14300000	2.817	shattered
chr3	14300001	14400000	1.302	shattered
chr3	14400001	14500000	1.134	shattered
chr3	14500001	14600000	1.186	shattered
chr3	14600001	14700000	1.245	shattered
chr3	14700001	14800000	1.57	shattered
chr3	14800001	14900000	1.581	shattered
chr3	14900001	15000000	1.62	shattered
chr3	15000001	15100000	1.623	shattered
chr3	15100001	15200000	1.685	shattered
chr3	15200001	15300000	1.636	shattered
chr3	15300001	15400000	1.605	shattered
chr3	15400001	15500000	1.463	shattered
chr3	15500001	15600000	1.807	shattered
chr3	15600001	15700000	1.824	shattered
chr3	15700001	15800000	1.75	shattered
chr3	15800001	15900000	1.877	shattered
chr3	15900001	16000000	1.892	shattered
chr3	16000001	16100000	1.866	shattered
chr3	16100001	16200000	1.701	shattered
chr3	16200001	16300000	1.861	shattered
chr3	16300001	16400000	1.847	shattered
chr3	16400001	16500000	1.914	shattered
chr3	16500001	16600000	1.923	shattered
chr3	16600001	16700000	1.734	shattered
chr3	16700001	16800000	1.784	shattered
chr3	16800001	16900000	1.854	shattered
chr3	16900001	17000000	1.901	shattered
chr3	17000001	17100000	1.568	shattered
chr3	17100001	17200000	1.754	shattered
chr3	17200001	17300000	1.856	shattered
chr3	17300001	17400000	1.871	shattered
chr3	17400001	17500000	1.854	shattered
chr3	17500001	17600000	1.938	shattered
chr3	17600001	17700000	1.752	shattered
chr3	17700001	17800000	1.916	shattered
chr3	17800001	17900000	1.849	shattered
chr3	17900001	18000000	1.822	shattered
chr3	18000001	18100000	1.952	shattered
chr3	18100001	18200000	1.915	shattered
chr3	18200001	18300000	1.892	shattered
chr3	18300001	18400000	1.993	shattered
chr3	18400001	18500000	1.969	shattered
chr3	18500001	18600000	1.907	shattered
chr3	18600001	18700000	1.912	shattered
chr3	18700001	18800000	1.839	shattered
chr3	18800001	18900000	2.02	shattered
chr3	18900001	19000000	1.901	shattered
chr3	19000001	19100000	1.783	shattered
chr3	19100001	19200000	1.768	shattered
chr3	19200001	19300000	1.829	shattered
chr3	19300001	19400000	1.82	shattered
chr3	19400001	19500000	1.893	shattered
chr3	19500001	19600000	1.803	shattered
chr3	19600001	19700000	1.948	shattered
chr3	19700001	19800000	1.879	shattered
