Chrom	Strt	End	Relative Read Coverage 5k	Sample
chr1	1085001	1090000	2.884	Shattered
chr1	1090001	1095000	3.51	Shattered
chr1	1095001	1100000	3.73	Shattered
chr1	1100001	1105000	2.655	Shattered
chr1	1105001	1110000	2.271	Shattered
chr1	1110001	1115000	1.709	Shattered
chr1	1115001	1120000	2.317	Shattered
chr1	1120001	1125000	3.346	Shattered
chr1	1125001	1130000	2.065	Shattered
chr1	1130001	1135000	2.15	Shattered
chr1	1135001	1140000	3.311	Shattered
chr1	1140001	1145000	3.139	Shattered
chr1	1145001	1150000	1.785	Shattered
chr1	1150001	1155000	1.932	Shattered
chr1	1155001	1160000	3.386	Shattered
chr1	1160001	1165000	2.599	Shattered
chr1	1165001	1170000	2.101	Shattered
chr1	1170001	1175000	4.441	Shattered
chr1	1175001	1180000	3.43	Shattered
chr1	1180001	1185000	3.537	Shattered
chr1	1185001	1190000	2.504	Shattered
chr1	1190001	1195000	2.847	Shattered
chr1	1195001	1200000	2.658	Shattered
chr1	1200001	1205000	1.92	Shattered
chr1	1205001	1210000	1.676	Shattered
chr1	1210001	1215000	2.512	Shattered
chr1	1215001	1220000	1.872	Shattered
chr1	1220001	1225000	3.109	Shattered
chr1	1225001	1230000	1.76	Shattered
chr1	1230001	1235000	1.993	Shattered
chr1	1235001	1240000	2.356	Shattered
chr1	1240001	1245000	2.023	Shattered
chr1	1245001	1250000	1.97	Shattered
chr1	1250001	1255000	1.686	Shattered
chr1	1255001	1260000	3.211	Shattered
chr1	1260001	1265000	4.067	Shattered
chr1	1265001	1270000	2.561	Shattered
chr1	1270001	1275000	2.709	Shattered
chr1	1275001	1280000	2.405	Shattered
chr1	1280001	1285000	2.452	Shattered
chr1	1285001	1290000	2.386	Shattered
chr1	1290001	1295000	2.516	Shattered
chr1	1295001	1300000	2.648	Shattered
chr1	1300001	1305000	3.657	Shattered
chr1	1305001	1310000	2.926	Shattered
chr1	1310001	1315000	2.334	Shattered
chr1	1315001	1320000	2.177	Shattered
chr1	1320001	1325000	2.056	Shattered
chr1	1325001	1330000	2.117	Shattered
chr1	1330001	1335000	3.751	Shattered
chr1	1335001	1340000	1.156	Shattered
chr1	1340001	1345000	3.527	Shattered
chr1	1345001	1350000	3.086	Shattered
chr1	1350001	1355000	2.476	Shattered
chr1	1355001	1360000	2.161	Shattered
chr1	1360001	1365000	1.629	Shattered
chr1	1365001	1370000	1.797	Shattered
chr1	1370001	1375000	2.022	Shattered
chr1	1375001	1380000	2.024	Shattered
chr1	1380001	1385000	2.589	Shattered
chr1	1385001	1390000	2.841	Shattered
chr1	1390001	1395000	3.559	Shattered
chr1	1395001	1400000	3.936	Shattered
chr1	1400001	1405000	1.688	Shattered
chr1	1405001	1410000	2.065	Shattered
chr1	1410001	1415000	1.47	Shattered
chr1	1415001	1420000	1.84	Shattered
chr1	1420001	1425000	1.928	Shattered
chr1	1425001	1430000	1.703	Shattered
chr1	1430001	1435000	1.568	Shattered
chr1	1435001	1440000	1.835	Shattered
chr1	1440001	1445000	1.937	Shattered
chr1	1445001	1450000	1.836	Shattered
chr1	1450001	1455000	1.901	Shattered
chr1	1455001	1460000	1.988	Shattered
chr1	1460001	1465000	2.026	Shattered
chr1	1465001	1470000	1.95	Shattered
chr1	1470001	1475000	1.766	Shattered
chr1	1475001	1480000	2.062	Shattered
chr1	1480001	1485000	1.83	Shattered
chr1	1485001	1490000	1.504	Shattered
chr1	1490001	1495000	1.81	Shattered
chr1	1495001	1500000	1.658	Shattered
chr1	1500001	1505000	3.476	Shattered
chr1	1505001	1510000	3.799	Shattered
chr1	1510001	1515000	1.878	Shattered
chr1	1515001	1520000	3.984	Shattered
chr1	1520001	1525000	3.802	Shattered
chr1	1525001	1530000	2.312	Shattered
chr1	1530001	1535000	2.258	Shattered
chr1	1535001	1540000	2.44	Shattered
chr1	1540001	1545000	2.195	Shattered
chr1	1545001	1550000	1.805	Shattered
chr1	1550001	1555000	1.457	Shattered
chr1	1555001	1560000	2.684	Shattered
chr1	1560001	1565000	1.851	Shattered
chr1	1565001	1570000	2.461	Shattered
chr1	1570001	1575000	2.952	Shattered
chr1	1575001	1580000	3.689	Shattered
chr1	1580001	1585000	2.272	Shattered
chr1	1585001	1590000	2.687	Shattered
chr1	1590001	1595000	3.906	Shattered
chr1	1595001	1600000	2.428	Shattered
chr1	1600001	1605000	3.017	Shattered
chr1	1605001	1610000	2.619	Shattered
chr1	1610001	1615000	2.006	Shattered
chr1	1615001	1620000	1.67	Shattered
chr1	1620001	1625000	2.098	Shattered
chr1	1625001	1630000	1.83	Shattered
chr1	1630001	1635000	1.779	Shattered
chr1	1635001	1640000	2.117	Shattered
chr1	1640001	1645000	1.537	Shattered
chr1	1645001	1650000	2.248	Shattered
chr1	1650001	1655000	1.77	Shattered
chr1	1655001	1660000	1.647	Shattered
chr1	1660001	1665000	2.396	Shattered
chr1	1665001	1670000	3.415	Shattered
chr1	1670001	1675000	2.138	Shattered
chr1	1675001	1680000	1.862	Shattered
chr1	1680001	1685000	3.062	Shattered
chr1	1685001	1690000	2.824	Shattered
chr1	1690001	1695000	2.827	Shattered
chr1	1695001	1700000	1.947	Shattered
chr1	1700001	1705000	1.747	Shattered
chr1	1705001	1710000	3.611	Shattered
chr1	1710001	1715000	3.668	Shattered
chr1	1715001	1720000	2.534	Shattered
chr1	1720001	1725000	3.09	Shattered
chr1	1725001	1730000	3.169	Shattered
chr1	1730001	1735000	2.227	Shattered
chr1	1735001	1740000	1.954	Shattered
chr1	1740001	1745000	2.399	Shattered
chr1	1745001	1750000	1.998	Shattered
chr1	1750001	1755000	2.124	Shattered
chr1	1755001	1760000	2.576	Shattered
chr1	1760001	1765000	2.043	Shattered
chr1	1765001	1770000	2.145	Shattered
chr1	1770001	1775000	1.781	Shattered
chr1	1775001	1780000	3.267	Shattered
chr1	1780001	1785000	3.488	Shattered
chr1	1785001	1790000	2.84	Shattered
chr1	1790001	1795000	2.671	Shattered
chr1	1795001	1800000	3.804	Shattered
chr1	1800001	1805000	3.374	Shattered
chr1	1805001	1810000	3.677	Shattered
chr1	1810001	1815000	3.38	Shattered
chr1	1815001	1820000	3.492	Shattered
chr1	1820001	1825000	3.104	Shattered
chr1	1825001	1830000	4.767	Shattered
chr1	1830001	1835000	4.195	Shattered
chr1	1835001	1840000	1.846	Shattered
chr1	1840001	1845000	1.507	Shattered
chr1	1845001	1850000	2.025	Shattered
chr1	1850001	1855000	3.921	Shattered
chr1	1855001	1860000	1.548	Shattered
chr1	1860001	1865000	1.637	Shattered
chr1	1865001	1870000	2.304	Shattered
chr1	1870001	1875000	2.281	Shattered
chr1	1875001	1880000	3.852	Shattered
chr1	1880001	1885000	2.462	Shattered
chr1	1885001	1890000	3.009	Shattered
chr1	1890001	1895000	2.817	Shattered
chr1	1895001	1900000	2.094	Shattered
chr1	1900001	1905000	2.006	Shattered
chr1	1905001	1910000	2.057	Shattered
chr1	1910001	1915000	1.821	Shattered
chr1	1915001	1920000	2.121	Shattered
chr1	1920001	1925000	1.711	Shattered
chr1	1925001	1930000	2.028	Shattered
chr1	1930001	1935000	2.672	Shattered
chr1	1935001	1940000	2.043	Shattered
chr1	1940001	1945000	2.368	Shattered
chr1	1945001	1950000	2.154	Shattered
chr1	1950001	1955000	2.895	Shattered
chr1	1955001	1960000	2.613	Shattered
chr1	1960001	1965000	2.035	Shattered
chr1	1965001	1970000	2.102	Shattered
chr1	1970001	1975000	2.82	Shattered
chr1	1975001	1980000	3.241	Shattered
chr1	1980001	1985000	3.399	Shattered
chr1	1985001	1990000	2.74	Shattered
chr1	1990001	1995000	2.243	Shattered
chr1	1995001	2000000	1.95	Shattered
chr1	2000001	2005000	2.179	Shattered
chr1	2005001	2010000	1.826	Shattered
chr1	2010001	2015000	1.661	Shattered
chr1	2015001	2020000	1.628	Shattered
chr1	2020001	2025000	2.098	Shattered
chr1	2025001	2030000	2.349	Shattered
chr1	2030001	2035000	2.249	Shattered
chr1	2035001	2040000	2.166	Shattered
chr1	2040001	2045000	2.555	Shattered
chr1	2045001	2050000	2.747	Shattered
chr1	2050001	2055000	1.583	Shattered
chr1	2055001	2060000	1.356	Shattered
chr1	2060001	2065000	1.672	Shattered
chr1	2065001	2070000	2.192	Shattered
chr1	2070001	2075000	1.893	Shattered
chr1	2075001	2080000	1.711	Shattered
chr1	2080001	2085000	2.097	Shattered
chr1	2085001	2090000	2.124	Shattered
chr1	2090001	2095000	2.842	Shattered
chr1	2095001	2100000	1.863	Shattered
chr1	2100001	2105000	2.664	Shattered
chr1	2105001	2110000	3.557	Shattered
chr1	2110001	2115000	2.246	Shattered
chr1	2115001	2120000	1.636	Shattered
chr1	2120001	2125000	1.531	Shattered
chr1	2125001	2130000	2.003	Shattered
chr1	2130001	2135000	2.572	Shattered
chr1	2135001	2140000	2.874	Shattered
chr1	2140001	2145000	2.286	Shattered
chr1	2145001	2150000	2.304	Shattered
chr1	2150001	2155000	2.735	Shattered
chr1	2155001	2160000	1.781	Shattered
chr1	2160001	2165000	1.935	Shattered
chr1	2165001	2170000	2.289	Shattered
chr1	2170001	2175000	1.432	Shattered
chr1	2175001	2180000	1.304	Shattered
chr1	2180001	2185000	2.963	Shattered
chr1	2185001	2190000	2.991	Shattered
chr1	2190001	2195000	2.598	Shattered
chr1	2195001	2200000	2.701	Shattered
chr1	2200001	2205000	3.042	Shattered
chr1	2205001	2210000	2.889	Shattered
chr1	2210001	2215000	2.208	Shattered
chr1	2215001	2220000	1.789	Shattered
chr1	2220001	2225000	2.661	Shattered
chr1	2225001	2230000	3.435	Shattered
chr1	2230001	2235000	2.609	Shattered
chr1	2235001	2240000	3.57	Shattered
chr1	2240001	2245000	1.965	Shattered
chr1	2245001	2250000	1.861	Shattered
chr1	2250001	2255000	2.448	Shattered
chr1	2255001	2260000	2.002	Shattered
chr1	2260001	2265000	1.83	Shattered
chr1	2265001	2270000	1.684	Shattered
chr1	2270001	2275000	1.561	Shattered
chr1	2275001	2280000	2.143	Shattered
chr1	2280001	2285000	2.53	Shattered
chr1	2285001	2290000	1.753	Shattered
chr1	2290001	2295000	1.771	Shattered
chr1	2295001	2300000	1.722	Shattered
chr1	2300001	2305000	1.673	Shattered
chr1	2305001	2310000	2.336	Shattered
chr1	2310001	2315000	1.876	Shattered
chr1	2315001	2320000	1.691	Shattered
chr1	2320001	2325000	2.343	Shattered
chr1	2325001	2330000	2.454	Shattered
chr1	2330001	2335000	2.712	Shattered
chr1	2335001	2340000	3.093	Shattered
chr1	2340001	2345000	2.65	Shattered
chr1	2345001	2350000	2.952	Shattered
chr1	2350001	2355000	2.419	Shattered
chr1	2355001	2360000	2.423	Shattered
chr1	2360001	2365000	2.565	Shattered
chr1	2365001	2370000	2.438	Shattered
chr1	2370001	2375000	2.35	Shattered
chr1	2375001	2380000	2.242	Shattered
chr1	2380001	2385000	2.102	Shattered
chr1	2385001	2390000	2.939	Shattered
chr1	2390001	2395000	2.514	Shattered
chr1	2395001	2400000	2.651	Shattered
chr1	2400001	2405000	2.463	Shattered
chr1	2405001	2410000	3.012	Shattered
chr1	2410001	2415000	3.602	Shattered
chr1	2415001	2420000	3.695	Shattered
chr1	2420001	2425000	4.019	Shattered
chr1	2425001	2430000	4.014	Shattered
chr1	2430001	2435000	4.64	Shattered
chr1	2435001	2440000	3.251	Shattered
chr1	2440001	2445000	2.938	Shattered
chr1	2445001	2450000	1.895	Shattered
chr1	2450001	2455000	2.381	Shattered
chr1	2455001	2460000	2.248	Shattered
chr1	2460001	2465000	2.277	Shattered
chr1	2465001	2470000	2.064	Shattered
chr1	2470001	2475000	1.991	Shattered
chr1	2475001	2480000	1.966	Shattered
chr1	2480001	2485000	2.01	Shattered
chr1	2485001	2490000	3.988	Shattered
chr1	2490001	2495000	2.885	Shattered
chr1	2495001	2500000	2.355	Shattered
chr1	2500001	2505000	2.224	Shattered
chr1	2505001	2510000	1.775	Shattered
chr1	2510001	2515000	2.496	Shattered
chr1	2515001	2520000	3.016	Shattered
chr1	2520001	2525000	2.586	Shattered
chr1	2525001	2530000	2.113	Shattered
chr1	2530001	2535000	1.329	Shattered
chr1	2535001	2540000	1.744	Shattered
chr1	2540001	2545000	1.586	Shattered
chr1	2545001	2550000	2.207	Shattered
chr1	2550001	2555000	3.016	Shattered
chr1	2555001	2560000	4.157	Shattered
chr1	2560001	2565000	2.903	Shattered
chr1	2565001	2570000	1.998	Shattered
chr1	2570001	2575000	2.221	Shattered
chr1	2575001	2580000	1.818	Shattered
chr1	2580001	2585000	2.131	Shattered
chr1	2585001	2590000	2.847	Shattered
chr1	2590001	2595000	3.526	Shattered
chr1	2595001	2600000	2.944	Shattered
chr1	2600001	2605000	3.539	Shattered
chr1	2605001	2610000	2.785	Shattered
chr1	2610001	2615000	1.469	Shattered
chr1	2615001	2620000	2.517	Shattered
chr1	2620001	2625000	2.82	Shattered
chr1	2625001	2630000	2.662	Shattered
chr1	2630001	2635000	1.719	Shattered
chr1	2635001	2640000	1.698	Shattered
chr1	2640001	2645000	2.042	Shattered
chr1	2645001	2650000	2.239	Shattered
chr1	2650001	2655000	1.599	Shattered
chr1	2655001	2660000	3.123	Shattered
chr1	2660001	2665000	2.956	Shattered
chr1	2665001	2670000	3.194	Shattered
chr1	2670001	2675000	3.515	Shattered
chr1	2675001	2680000	2.486	Shattered
chr1	2680001	2685000	4.034	Shattered
chr1	2685001	2690000	2.253	Shattered
chr1	2690001	2695000	2.194	Shattered
chr1	2695001	2700000	1.923	Shattered
chr1	2700001	2705000	1.977	Shattered
chr1	2705001	2710000	1.57	Shattered
chr1	2710001	2715000	2.064	Shattered
chr1	2715001	2720000	2.189	Shattered
chr1	2720001	2725000	4.957	Shattered
chr1	2725001	2730000	3.412	Shattered
chr1	2730001	2735000	2.133	Shattered
chr1	2735001	2740000	1.87	Shattered
chr1	2740001	2745000	1.651	Shattered
chr1	2745001	2750000	1.773	Shattered
chr1	2750001	2755000	2.146	Shattered
chr1	2755001	2760000	1.792	Shattered
chr1	2760001	2765000	1.98	Shattered
chr1	2765001	2770000	1.865	Shattered
chr1	2770001	2775000	2.245	Shattered
chr1	2775001	2780000	1.694	Shattered
chr1	2780001	2785000	1.457	Shattered
chr1	2785001	2790000	1.41	Shattered
chr1	2790001	2795000	1.414	Shattered
chr1	2795001	2800000	1.232	Shattered
chr1	2800001	2805000	1.742	Shattered
chr1	2805001	2810000	2.106	Shattered
chr1	2810001	2815000	1.581	Shattered
chr1	2815001	2820000	2.348	Shattered
chr1	2820001	2825000	3.35	Shattered
chr1	2825001	2830000	3.419	Shattered
chr1	2830001	2835000	2.743	Shattered
chr1	2835001	2840000	3.607	Shattered
chr1	2840001	2845000	3.155	Shattered
chr1	2845001	2850000	3.486	Shattered
chr1	2850001	2855000	3.183	Shattered
chr1	2855001	2860000	3.522	Shattered
chr1	2860001	2865000	3.175	Shattered
chr1	2870001	2875000	3.844	Shattered
chr1	2875001	2880000	4.001	Shattered
chr1	2880001	2885000	2.93	Shattered
chr1	2885001	2890000	3.23	Shattered
chr1	2890001	2895000	2.792	Shattered
chr1	2895001	2900000	2.337	Shattered
chr1	2900001	2905000	2.206	Shattered
chr1	2905001	2910000	1.307	Shattered
chr1	2910001	2915000	2.073	Shattered
chr1	2915001	2920000	2.262	Shattered
chr1	2920001	2925000	2.159	Shattered
chr1	2925001	2930000	2.825	Shattered
chr1	2930001	2935000	2.685	Shattered
chr1	2935001	2940000	2.398	Shattered
chr1	2940001	2945000	3.251	Shattered
chr1	2945001	2950000	2.768	Shattered
chr1	2950001	2955000	2.847	Shattered
chr1	2955001	2960000	1.721	Shattered
chr1	2960001	2965000	1.888	Shattered
chr1	2965001	2970000	2.636	Shattered
chr1	2970001	2975000	1.935	Shattered
chr1	2975001	2980000	2.536	Shattered
chr1	2980001	2985000	1.778	Shattered
chr1	2985001	2990000	2.436	Shattered
chr1	2990001	2995000	2.672	Shattered
chr1	2995001	3000000	1.844	Shattered
chr1	3000001	3005000	1.979	Shattered
chr1	3005001	3010000	1.628	Shattered
chr1	3010001	3015000	1.685	Shattered
chr1	3015001	3020000	3.107	Shattered
chr1	3020001	3025000	3.031	Shattered
chr1	3025001	3030000	2.439	Shattered
chr1	3030001	3035000	2.355	Shattered
chr1	3035001	3040000	2.636	Shattered
chr1	3040001	3045000	2.197	Shattered
chr1	3045001	3050000	2.223	Shattered
chr1	3050001	3055000	2.536	Shattered
chr1	3055001	3060000	2.97	Shattered
chr1	3060001	3065000	3.052	Shattered
chr1	3065001	3070000	1.902	Shattered
chr1	3070001	3075000	1.72	Shattered
chr1	3075001	3080000	1.744	Shattered
chr1	3080001	3085000	1.546	Shattered
chr1	3085001	3090000	2.72	Shattered
chr1	3090001	3095000	2.117	Shattered
chr1	3095001	3100000	1.848	Shattered
chr1	3100001	3105000	2.215	Shattered
chr1	3105001	3110000	1.842	Shattered
chr1	3110001	3115000	1.893	Shattered
chr1	3115001	3120000	2.951	Shattered
chr1	3120001	3125000	2.723	Shattered
chr1	3125001	3130000	1.835	Shattered
chr1	3130001	3135000	1.621	Shattered
chr1	3135001	3140000	1.86	Shattered
chr1	3140001	3145000	2.94	Shattered
chr1	3145001	3150000	3.008	Shattered
chr1	3150001	3155000	2.062	Shattered
chr1	3155001	3160000	2.078	Shattered
chr1	3160001	3165000	2.054	Shattered
chr1	3165001	3170000	1.742	Shattered
chr1	3170001	3175000	2.187	Shattered
chr1	3175001	3180000	2.189	Shattered
chr1	3180001	3185000	1.899	Shattered
chr1	3185001	3190000	1.671	Shattered
chr1	3190001	3195000	1.977	Shattered
chr1	3195001	3200000	1.696	Shattered
chr1	3200001	3205000	1.871	Shattered
chr1	3205001	3210000	1.71	Shattered
chr1	3210001	3215000	2.142	Shattered
chr1	3215001	3220000	2.264	Shattered
chr1	3220001	3225000	1.443	Shattered
chr1	3225001	3230000	1.663	Shattered
chr1	3230001	3235000	1.501	Shattered
chr1	3235001	3240000	3.192	Shattered
chr1	3240001	3245000	3.907	Shattered
chr1	3245001	3250000	1.569	Shattered
chr1	3250001	3255000	2.524	Shattered
chr1	3255001	3260000	2.017	Shattered
chr1	3260001	3265000	3.206	Shattered
chr1	3265001	3270000	3.928	Shattered
chr1	3270001	3275000	2.54	Shattered
chr1	3275001	3280000	1.678	Shattered
chr1	3280001	3285000	1.648	Shattered
chr1	3285001	3290000	1.954	Shattered
chr1	3290001	3295000	1.724	Shattered
chr1	3295001	3300000	1.776	Shattered
chr1	3300001	3305000	1.905	Shattered
chr1	3305001	3310000	2.172	Shattered
chr1	3310001	3315000	2.304	Shattered
chr1	3315001	3320000	2.093	Shattered
chr1	3320001	3325000	1.702	Shattered
chr1	3325001	3330000	3.138	Shattered
chr1	3330001	3335000	1.913	Shattered
chr1	3335001	3340000	1.89	Shattered
chr1	3340001	3345000	2.115	Shattered
chr1	3345001	3350000	2.406	Shattered
chr1	3350001	3355000	2.859	Shattered
chr1	3355001	3360000	3.026	Shattered
chr1	3360001	3365000	3.56	Shattered
chr1	3365001	3370000	3.353	Shattered
chr1	3370001	3375000	1.887	Shattered
chr1	3375001	3380000	2.172	Shattered
chr1	3380001	3385000	1.746	Shattered
chr1	3385001	3390000	2.079	Shattered
chr1	3390001	3395000	2.36	Shattered
chr1	3395001	3400000	2.442	Shattered
chr1	3400001	3405000	2.206	Shattered
chr1	3405001	3410000	2.439	Shattered
chr1	3410001	3415000	2.135	Shattered
chr1	3415001	3420000	1.835	Shattered
