Chrom	Pos	InGene	Start	End	Info
Chr1	5710943	TRUE	5709725	5711902	ID=AT1G16700.TAIR10;Name=AT1G16700
Chr1	1679911	TRUE	1679158	1681710	ID=AT1G05620.TAIR10;Name=AT1G05620
Chr1	1719805	TRUE	1718555	1720303	ID=AT1G05730.TAIR10;Name=AT1G05730
Chr1	1723819	TRUE	1721509	1724734	ID=AT1G05750.TAIR10;Name=AT1G05750
Chr1	1723819	TRUE	1723734	1724486	ID=AT1G05760.TAIR10;Name=AT1G05760
Chr1	1731344	TRUE	1730249	1732626	ID=AT1G05785.TAIR10;Name=AT1G05785
Chr1	1753226	TRUE	1749682	1753990	ID=AT1G05820.TAIR10;Name=AT1G05820
Chr1	6433970	TRUE	6433574	6436922	ID=AT1G18690.TAIR10;Name=AT1G18690
Chr1	1813837	TRUE	1807973	1815474	ID=AT1G05960.TAIR10;Name=AT1G05960
Chr1	9483409	TRUE	9483157	9484368	ID=AT1G27300.TAIR10;Name=AT1G27300
Chr1	5739542	TRUE	5739299	5744214	ID=AT1G16780.TAIR10;Name=AT1G16780
Chr1	10436436	TRUE	10435374	10437506	ID=AT1G29810.TAIR10;Name=AT1G29810
Chr1	13206585	TRUE	13205381	13208252	ID=AT1G35670.TAIR10;Name=AT1G35670
Chr1	5363450	TRUE	5362009	5365549	ID=AT1G15570.TAIR10;Name=AT1G15570
Chr1	7735271	TRUE	7734739	7738661	ID=AT1G21980.TAIR10;Name=AT1G21980
Chr1	1928359	TRUE	1926791	1930258	ID=AT1G06310.TAIR10;Name=AT1G06310
Chr1	11717411	TRUE	11715150	11719970	ID=AT1G32450.TAIR10;Name=AT1G32450
Chr1	1947383	TRUE	1946788	1950860	ID=AT1G06390.TAIR10;Name=AT1G06390
Chr1	1971732	TRUE	1969729	1973767	ID=AT1G06470.TAIR10;Name=AT1G06470
Chr1	1988307	TRUE	1978762	1989409	ID=AT1G06490.TAIR10;Name=AT1G06490
Chr1	11376685	TRUE	11374893	11377794	ID=AT1G31770.TAIR10;Name=AT1G31770
Chr1	5446868	TRUE	5446462	5447859	ID=AT1G15820.TAIR10;Name=AT1G15820
Chr1	11903838	TRUE	11902629	11906900	ID=AT1G32850.TAIR10;Name=AT1G32850
Chr1	3599794	TRUE	3599271	3600877	ID=AT1G10810.TAIR10;Name=AT1G10810
Chr1	2490952	TRUE	2489501	2493250	ID=AT1G08030.TAIR10;Name=AT1G08030
Chr1	2518353	TRUE	2516991	2518546	ID=AT1G08080.TAIR10;Name=AT1G08080
Chr1	3658001	TRUE	3655777	3658608	ID=AT1G10940.TAIR10;Name=AT1G10940
Chr1	6214915	TRUE	6213725	6218340	ID=AT1G18070.TAIR10;Name=AT1G18070
Chr1	3820324	TRUE	3817591	3820805	ID=AT1G11350.TAIR10;Name=AT1G11350
Chr1	10225421	TRUE	10224815	10226205	ID=AT1G29260.TAIR10;Name=AT1G29260
Chr1	8662324	TRUE	8662019	8663964	ID=AT1G24440.TAIR10;Name=AT1G24440
Chr1	13074544	TRUE	13071165	13074949	ID=AT1G35510.TAIR10;Name=AT1G35510
Chr1	2689629	TRUE	2689016	2690045	ID=AT1G08500.TAIR10;Name=AT1G08500
Chr1	9211364	TRUE	9210089	9211560	ID=AT1G26650.TAIR10;Name=AT1G26650
Chr1	2731615	TRUE	2723824	2733613	ID=AT1G08600.TAIR10;Name=AT1G08600
Chr1	6046223	TRUE	6039303	6049556	ID=AT1G17580.TAIR10;Name=AT1G17580
Chr1	6168060	TRUE	6166220	6168839	ID=AT1G17930.TAIR10;Name=AT1G17930
Chr1	12353732	TRUE	12351593	12355023	ID=AT1G33980.TAIR10;Name=AT1G33980
Chr1	3327719	TRUE	3327637	3328448	ID=AT1G10155.TAIR10;Name=AT1G10155
Chr1	3392028	TRUE	3390322	3392571	ID=AT1G10340.TAIR10;Name=AT1G10340
Chr1	3408919	TRUE	3407024	3412843	ID=AT1G10390.TAIR10;Name=AT1G10390
Chr1	3648600	TRUE	3647894	3655590	ID=AT1G10930.TAIR10;Name=AT1G10930
Chr1	3456884	TRUE	3453228	3460620	ID=AT1G10490.TAIR10;Name=AT1G10490
Chr1	3503425	TRUE	3502004	3503457	ID=AT1G10590.TAIR10;Name=AT1G10590
Chr1	6086857	TRUE	6082755	6088340	ID=AT1G17690.TAIR10;Name=AT1G17690
Chr1	3525776	TRUE	3524018	3526346	ID=AT1G10650.TAIR10;Name=AT1G10650
Chr1	3534971	TRUE	3532424	3535131	ID=AT1G10660.TAIR10;Name=AT1G10660
Chr1	3585554	TRUE	3581034	3590928	ID=AT1G10760.TAIR10;Name=AT1G10760
Chr1	3614099	TRUE	3611747	3614613	ID=AT1G10850.TAIR10;Name=AT1G10850
Chr1	6355882	TRUE	6352470	6356113	ID=AT1G18460.TAIR10;Name=AT1G18460
Chr1	3733515	TRUE	3733139	3739842	ID=AT1G11160.TAIR10;Name=AT1G11160
Chr1	3740837	TRUE	3740765	3744675	ID=AT1G11170.TAIR10;Name=AT1G11170
Chr1	3848009	TRUE	3847243	3849162	ID=AT1G11430.TAIR10;Name=AT1G11430
Chr1	9033879	TRUE	9033218	9038577	ID=AT1G26130.TAIR10;Name=AT1G26130
Chr1	3908832	TRUE	3906862	3909338	ID=AT1G11610.TAIR10;Name=AT1G11610
Chr1	9144305	TRUE	9143967	9146050	ID=AT1G26440.TAIR10;Name=AT1G26440
Chr1	3970583	TRUE	3969681	3971840	ID=AT1G11755.TAIR10;Name=AT1G11755
Chr1	3989803	TRUE	3989763	3991066	ID=AT1G11810.TAIR10;Name=AT1G11810
Chr1	9555136	TRUE	9554745	9558367	ID=AT1G27510.TAIR10;Name=AT1G27510
Chr1	4189999	TRUE	4189355	4190342	ID=AT1G12320.TAIR10;Name=AT1G12320
Chr1	10054632	TRUE	10053617	10055731	ID=AT1G28610.TAIR10;Name=AT1G28610
Chr1	4244930	TRUE	4244308	4245993	ID=AT1G12450.TAIR10;Name=AT1G12450
Chr1	9210452	TRUE	9210089	9211560	ID=AT1G26650.TAIR10;Name=AT1G26650
Chr1	4548256	TRUE	4547454	4548875	ID=AT1G13280.TAIR10;Name=AT1G13280
Chr1	9847023	TRUE	9846884	9847923	ID=AT1G28190.TAIR10;Name=AT1G28190
Chr1	4645449	TRUE	4644521	4647007	ID=AT1G13580.TAIR10;Name=AT1G13580
Chr1	11673861	TRUE	11672931	11675339	ID=AT1G32360.TAIR10;Name=AT1G32360
Chr1	4753992	TRUE	4753145	4755580	ID=AT1G13900.TAIR10;Name=AT1G13900
Chr1	11769332	TRUE	11767504	11769898	ID=AT1G32540.TAIR10;Name=AT1G32540
Chr1	11122314	TRUE	11120097	11122587	ID=AT1G31150.TAIR10;Name=AT1G31150
Chr1	10247851	TRUE	10247780	10249594	ID=AT1G29300.TAIR10;Name=AT1G29300
Chr1	12868215	TRUE	12867126	12868890	ID=AT1G35160.TAIR10;Name=AT1G35160
Chr1	4919450	TRUE	4918010	4921596	ID=AT1G14380.TAIR10;Name=AT1G14380
Chr1	9457494	TRUE	9455368	9458026	ID=AT1G27210.TAIR10;Name=AT1G27210
Chr1	5109392	TRUE	5107421	5111670	ID=AT1G14830.TAIR10;Name=AT1G14830
Chr1	11470112	TRUE	11470056	11471340	ID=AT1G31940.TAIR10;Name=AT1G31940
Chr1	5150897	TRUE	5149226	5151354	ID=AT1G14920.TAIR10;Name=AT1G14920
Chr1	10797764	TRUE	10796135	10800961	ID=AT1G30490.TAIR10;Name=AT1G30490
Chr1	5210676	TRUE	5210206	5212349	ID=AT1G15140.TAIR10;Name=AT1G15140
Chr1	5249834	TRUE	5249760	5250573	ID=AT1G15260.TAIR10;Name=AT1G15260
Chr1	5419230	TRUE	5414817	5421033	ID=AT1G15750.TAIR10;Name=AT1G15750
Chr1	5499006	TRUE	5498165	5501358	ID=AT1G16020.TAIR10;Name=AT1G16020
Chr1	5513403	TRUE	5511873	5513896	ID=AT1G16070.TAIR10;Name=AT1G16070
Chr1	5540530	TRUE	5540427	5542902	ID=AT1G16180.TAIR10;Name=AT1G16180
Chr1	11668186	TRUE	11666977	11668690	ID=AT1G32350.TAIR10;Name=AT1G32350
Chr1	5575402	TRUE	5574310	5577622	ID=AT1G16300.TAIR10;Name=AT1G16300
Chr1	5628164	TRUE	5625699	5628656	ID=AT1G16480.TAIR10;Name=AT1G16480
Chr1	6143887	TRUE	6142564	6146521	ID=AT1G17840.TAIR10;Name=AT1G17840
Chr1	9604117	TRUE	9603178	9606101	ID=AT1G27600.TAIR10;Name=AT1G27600
Chr1	9815270	TRUE	9812959	9815544	ID=AT1G28120.TAIR10;Name=AT1G28120
Chr1	5846845	TRUE	5845660	5850934	ID=AT1G17110.TAIR10;Name=AT1G17110
Chr1	7914687	TRUE	7912046	7915003	ID=AT1G22410.TAIR10;Name=AT1G22410
Chr1	5870037	TRUE	5869846	5870840	ID=AT1G17170.TAIR10;Name=AT1G17170
Chr1	5942602	TRUE	5941784	5944463	ID=AT1G17350.TAIR10;Name=AT1G17350
Chr1	5956947	TRUE	5955488	5957212	ID=AT1G17380.TAIR10;Name=AT1G17380
Chr1	7591856	TRUE	7588414	7592890	ID=AT1G21640.TAIR10;Name=AT1G21640
Chr1	6066601	TRUE	6064525	6066720	ID=AT1G17630.TAIR10;Name=AT1G17630
Chr1	7154994	TRUE	7154410	7158218	ID=AT1G20640.TAIR10;Name=AT1G20640
Chr1	6082170	TRUE	6076077	6082337	ID=AT1G17680.TAIR10;Name=AT1G17680
Chr1	6148297	TRUE	6145926	6148940	ID=AT1G17850.TAIR10;Name=AT1G17850
Chr1	6319217	TRUE	6316695	6319427	ID=AT1G18360.TAIR10;Name=AT1G18360
Chr1	9455722	TRUE	9455368	9458026	ID=AT1G27210.TAIR10;Name=AT1G27210
Chr1	6322780	TRUE	6319650	6324222	ID=AT1G18370.TAIR10;Name=AT1G18370
Chr1	6369885	TRUE	6369347	6373025	ID=AT1G18500.TAIR10;Name=AT1G18500
Chr1	7022640	TRUE	7020749	7023067	ID=AT1G20270.TAIR10;Name=AT1G20270
Chr1	10791100	TRUE	10790022	10792575	ID=AT1G30480.TAIR10;Name=AT1G30480
Chr1	10722462	TRUE	10722197	10723247	ID=AT1G30380.TAIR10;Name=AT1G30380
Chr1	9828067	TRUE	9825286	9828067	ID=AT1G28130.TAIR10;Name=AT1G28130
Chr1	8663940	TRUE	8662019	8663964	ID=AT1G24440.TAIR10;Name=AT1G24440
Chr1	7185986	TRUE	7185658	7192794	ID=AT1G20720.TAIR10;Name=AT1G20720
Chr1	9360149	TRUE	9359682	9361833	ID=AT1G26970.TAIR10;Name=AT1G26970
Chr1	7375963	TRUE	7375869	7378147	ID=AT1G21070.TAIR10;Name=AT1G21070
Chr1	7593381	TRUE	7592664	7604229	ID=AT1G21650.TAIR10;Name=AT1G21650
Chr1	7650145	TRUE	7649194	7651816	ID=AT1G21760.TAIR10;Name=AT1G21760
Chr1	8973407	TRUE	8969065	8974660	ID=AT1G25540.TAIR10;Name=AT1G25540
Chr1	8720800	TRUE	8720651	8722746	ID=AT1G24610.TAIR10;Name=AT1G24610
Chr1	7951591	TRUE	7950818	7952832	ID=AT1G22510.TAIR10;Name=AT1G22510
Chr1	12158764	TRUE	12157156	12158953	ID=AT1G33520.TAIR10;Name=AT1G33520
Chr1	8284367	TRUE	8283644	8286832	ID=AT1G23340.TAIR10;Name=AT1G23340
Chr1	9889617	TRUE	9889125	9890993	ID=AT1G28290.TAIR10;Name=AT1G28290
Chr1	8351495	TRUE	8350793	8352791	ID=AT1G23550.TAIR10;Name=AT1G23550
Chr1	8674256	TRUE	8674056	8676408	ID=AT1G24470.TAIR10;Name=AT1G24470
Chr1	8721852	TRUE	8720651	8722746	ID=AT1G24610.TAIR10;Name=AT1G24610
Chr1	8999031	TRUE	8996768	8999860	ID=AT1G25580.TAIR10;Name=AT1G25580
Chr1	10313063	TRUE	10310245	10314048	ID=AT1G29470.TAIR10;Name=AT1G29470
Chr1	9075202	TRUE	9072256	9076743	ID=AT1G26230.TAIR10;Name=AT1G26230
Chr1	9637026	TRUE	9636594	9638577	ID=AT1G27690.TAIR10;Name=AT1G27690
Chr1	11372568	TRUE	11372425	11373483	ID=AT1G31760.TAIR10;Name=AT1G31760
Chr1	10560042	TRUE	10559561	10561423	ID=AT1G30090.TAIR10;Name=AT1G30090
Chr1	10686774	TRUE	10685822	10690838	ID=AT1G30330.TAIR10;Name=AT1G30330
Chr1	12157656	TRUE	12157156	12158953	ID=AT1G33520.TAIR10;Name=AT1G33520
Chr1	13071357	TRUE	13071165	13074949	ID=AT1G35510.TAIR10;Name=AT1G35510
Chr5	20936896	TRUE	20936426	20937413	ID=AT5G51545.TAIR10;Name=AT5G51545
Chr2	601358	TRUE	600491	601439	ID=AT2G02280.TAIR10;Name=AT2G02280
Chr4	18268459	TRUE	18268049	18269212	ID=AT4G39235.TAIR10;Name=AT4G39235
Chr4	12809217	TRUE	12808520	12811377	ID=AT4G24880.TAIR10;Name=AT4G24880
Chr1	2513068	TRUE	2511647	2513454	ID=AT1G08065.TAIR10;Name=AT1G08065
Chr1	5000204	TRUE	4998816	5000643	ID=AT1G14590.TAIR10;Name=AT1G14590
Chr1	151661	TRUE	150689	152210	ID=AT1G01400.TAIR10;Name=AT1G01400
Chr1	5669107	TRUE	5668384	5670708	ID=AT1G16560.TAIR10;Name=AT1G16560
Chr1	11606615	TRUE	11605857	11607768	ID=AT1G32210.TAIR10;Name=AT1G32210
Chr1	201351	TRUE	199639	201775	ID=AT1G01550.TAIR10;Name=AT1G01550
Chr1	213034	TRUE	209395	213041	ID=AT1G01580.TAIR10;Name=AT1G01580
Chr1	271646	TRUE	270956	272061	ID=AT1G01730.TAIR10;Name=AT1G01730
Chr1	286856	TRUE	284610	291094	ID=AT1G01790.TAIR10;Name=AT1G01790
Chr1	320008	TRUE	319836	322860	ID=AT1G01930.TAIR10;Name=AT1G01930
Chr1	3713221	TRUE	3712999	3713735	ID=AT1G11112.TAIR10;Name=AT1G11112
Chr1	8124724	TRUE	8122339	8125068	ID=AT1G22940.TAIR10;Name=AT1G22940
Chr1	385996	TRUE	373335	386847	ID=AT1G02080.TAIR10;Name=AT1G02080
Chr1	420367	TRUE	418748	422438	ID=AT1G02205.TAIR10;Name=AT1G02205
Chr1	9485109	TRUE	9484316	9485896	ID=AT1G27310.TAIR10;Name=AT1G27310
Chr1	506586	TRUE	504673	507204	ID=AT1G02460.TAIR10;Name=AT1G02460
Chr1	537063	TRUE	536483	537211	ID=AT1G02550.TAIR10;Name=AT1G02550
Chr1	4173905	TRUE	4172075	4174775	ID=AT1G12270.TAIR10;Name=AT1G12270
Chr1	627789	TRUE	626741	629819	ID=AT1G02840.TAIR10;Name=AT1G02840
Chr1	9207682	TRUE	9207388	9209902	ID=AT1G26640.TAIR10;Name=AT1G26640
Chr1	1033702	TRUE	1031200	1036237	ID=AT1G04010.TAIR10;Name=AT1G04010
Chr1	704352	TRUE	703906	706631	ID=AT1G03040.TAIR10;Name=AT1G03040
Chr1	12122522	TRUE	12120886	12123576	ID=AT1G33420.TAIR10;Name=AT1G33420
Chr1	12360818	TRUE	12359536	12361189	ID=AT1G34010.TAIR10;Name=AT1G34010
Chr1	3843584	TRUE	3841286	3844432	ID=AT1G11410.TAIR10;Name=AT1G11410
Chr1	3388994	TRUE	3388747	3390150	ID=AT1G10330.TAIR10;Name=AT1G10330
Chr1	4163840	TRUE	4162832	4165852	ID=AT1G12260.TAIR10;Name=AT1G12260
Chr1	9145524	TRUE	9143967	9146050	ID=AT1G26440.TAIR10;Name=AT1G26440
Chr1	10933406	TRUE	10932713	10934066	ID=AT1G30790.TAIR10;Name=AT1G30790
Chr1	1297088	TRUE	1294893	1299002	ID=AT1G04650.TAIR10;Name=AT1G04650
Chr1	8523391	TRUE	8523247	8524929	ID=AT1G24095.TAIR10;Name=AT1G24095
Chr1	1076504	TRUE	1075543	1080630	ID=AT1G04140.TAIR10;Name=AT1G04140
Chr1	5843796	TRUE	5842216	5844283	ID=AT1G17090.TAIR10;Name=AT1G17090
Chr1	10571965	TRUE	10571340	10573365	ID=AT1G30100.TAIR10;Name=AT1G30100
Chr1	1117668	TRUE	1114405	1119739	ID=AT1G04210.TAIR10;Name=AT1G04210
Chr1	1142020	TRUE	1141604	1143053	ID=AT1G04270.TAIR10;Name=AT1G04270
Chr1	1186379	TRUE	1185550	1188517	ID=AT1G04400.TAIR10;Name=AT1G04400
Chr1	7938864	TRUE	7938251	7940592	ID=AT1G22490.TAIR10;Name=AT1G22490
Chr1	1328114	TRUE	1325296	1331086	ID=AT1G04730.TAIR10;Name=AT1G04730
Chr1	662354	TRUE	661177	662456	ID=AT1G02930.TAIR10;Name=AT1G02930
Chr1	4823008	TRUE	4822528	4824414	ID=AT1G14080.TAIR10;Name=AT1G14080
Chr1	3141653	TRUE	3140868	3144370	ID=AT1G09710.TAIR10;Name=AT1G09710
Chr1	1342901	TRUE	1340669	1343584	ID=AT1G04780.TAIR10;Name=AT1G04780
Chr1	10284316	TRUE	10284121	10285970	ID=AT1G29380.TAIR10;Name=AT1G29380
Chr1	1399550	TRUE	1399182	1400770	ID=AT1G04940.TAIR10;Name=AT1G04940
Chr1	1399550	TRUE	1399174	1403112	ID=AT1G04945.TAIR10;Name=AT1G04945
Chr1	1572029	TRUE	1569192	1572280	ID=AT1G05370.TAIR10;Name=AT1G05370
Chr1	12623760	TRUE	12623477	12624487	ID=AT1G34520.TAIR10;Name=AT1G34520
Chr1	5340255	TRUE	5339961	5341931	ID=AT1G15530.TAIR10;Name=AT1G15530
Chr1	3883397	TRUE	3883280	3883956	ID=AT1G11570.TAIR10;Name=AT1G11570
Chr1	6208130	TRUE	6206871	6209500	ID=AT1G18040.TAIR10;Name=AT1G18040
Chr1	8506164	TRUE	8503777	8506803	ID=AT1G24040.TAIR10;Name=AT1G24040
Chr1	2890672	TRUE	2888753	2890959	ID=AT1G08990.TAIR10;Name=AT1G08990
Chr1	7634550	TRUE	7630107	7636594	ID=AT1G21730.TAIR10;Name=AT1G21730
Chr1	1764668	TRUE	1762734	1766281	ID=AT1G05840.TAIR10;Name=AT1G05840
Chr1	1814736	TRUE	1807973	1815474	ID=AT1G05960.TAIR10;Name=AT1G05960
Chr1	1821717	TRUE	1820308	1821894	ID=AT1G06000.TAIR10;Name=AT1G06000
Chr1	1825162	TRUE	1824548	1826101	ID=AT1G06020.TAIR10;Name=AT1G06020
Chr1	1848614	TRUE	1847883	1849693	ID=AT1G06090.TAIR10;Name=AT1G06090
Chr1	2683474	TRUE	2682127	2684100	ID=AT1G08470.TAIR10;Name=AT1G08470
Chr1	5363239	TRUE	5362009	5365549	ID=AT1G15570.TAIR10;Name=AT1G15570
Chr1	1867539	TRUE	1867015	1873718	ID=AT1G06150.TAIR10;Name=AT1G06150
Chr1	7735172	TRUE	7734739	7738661	ID=AT1G21980.TAIR10;Name=AT1G21980
Chr1	1869698	TRUE	1868989	1873718	ID=AT1G06149.TAIR10;Name=AT1G06149
Chr1	1869698	TRUE	1867015	1873718	ID=AT1G06150.TAIR10;Name=AT1G06150
Chr1	5108528	TRUE	5107421	5111670	ID=AT1G14830.TAIR10;Name=AT1G14830
Chr1	6489851	TRUE	6489309	6494218	ID=AT1G18830.TAIR10;Name=AT1G18830
Chr1	9170271	TRUE	9167589	9170934	ID=AT1G26540.TAIR10;Name=AT1G26540
Chr1	2022563	TRUE	2016308	2024662	ID=AT1G06590.TAIR10;Name=AT1G06590
Chr1	2036296	TRUE	2035839	2037366	ID=AT1G06650.TAIR10;Name=AT1G06650
Chr1	2043135	TRUE	2040433	2047612	ID=AT1G06670.TAIR10;Name=AT1G06670
Chr1	2115506	TRUE	2114927	2120745	ID=AT1G06900.TAIR10;Name=AT1G06900
Chr1	2231456	TRUE	2229757	2232897	ID=AT1G07270.TAIR10;Name=AT1G07270
Chr1	2238345	TRUE	2238087	2241217	ID=AT1G07280.TAIR10;Name=AT1G07280
Chr1	2484239	TRUE	2483240	2485109	ID=AT1G08000.TAIR10;Name=AT1G08000
Chr1	2564986	TRUE	2564572	2565121	ID=AT1G08180.TAIR10;Name=AT1G08180
Chr1	2575533	TRUE	2573848	2576714	ID=AT1G08200.TAIR10;Name=AT1G08200
Chr1	2579236	TRUE	2577020	2580669	ID=AT1G08210.TAIR10;Name=AT1G08210
Chr1	2608512	TRUE	2608408	2609853	ID=AT1G08280.TAIR10;Name=AT1G08280
Chr1	2622520	TRUE	2621904	2627848	ID=AT1G08320.TAIR10;Name=AT1G08320
Chr1	2718789	TRUE	2718778	2722221	ID=AT1G08590.TAIR10;Name=AT1G08590
Chr1	6357377	TRUE	6356131	6360192	ID=AT1G18470.TAIR10;Name=AT1G18470
Chr1	2938929	TRUE	2936528	2939326	ID=AT1G09100.TAIR10;Name=AT1G09100
Chr1	3017003	TRUE	3015328	3018234	ID=AT1G09340.TAIR10;Name=AT1G09340
Chr1	3123166	TRUE	3122956	3124578	ID=AT1G09645.TAIR10;Name=AT1G09645
Chr1	3142099	TRUE	3140868	3144370	ID=AT1G09710.TAIR10;Name=AT1G09710
Chr1	3235053	TRUE	3234060	3235530	ID=AT1G09935.TAIR10;Name=AT1G09935
Chr1	11530452	TRUE	11528445	11531281	ID=AT1G32050.TAIR10;Name=AT1G32050
Chr1	10352903	TRUE	10349427	10353736	ID=AT1G29630.TAIR10;Name=AT1G29630
Chr1	3694970	TRUE	3694672	3698013	ID=AT1G11080.TAIR10;Name=AT1G11080
Chr1	3797746	TRUE	3794238	3800719	ID=AT1G11300.TAIR10;Name=AT1G11300
Chr1	3454307	TRUE	3453228	3460620	ID=AT1G10490.TAIR10;Name=AT1G10490
Chr1	6434678	TRUE	6433574	6436922	ID=AT1G18690.TAIR10;Name=AT1G18690
Chr1	3513305	TRUE	3512795	3514729	ID=AT1G10630.TAIR10;Name=AT1G10630
Chr1	3808537	TRUE	3807128	3808875	ID=AT1G11320.TAIR10;Name=AT1G11320
Chr1	3632340	TRUE	3632234	3637141	ID=AT1G10900.TAIR10;Name=AT1G10900
Chr1	3624729	TRUE	3624035	3627082	ID=AT1G10880.TAIR10;Name=AT1G10880
Chr1	4717176	TRUE	4715394	4718235	ID=AT1G13750.TAIR10;Name=AT1G13750
Chr1	5138532	TRUE	5138334	5139432	ID=AT1G14900.TAIR10;Name=AT1G14900
Chr1	11576357	TRUE	11575320	11577927	ID=AT1G32170.TAIR10;Name=AT1G32170
Chr1	3871921	TRUE	3871778	3872836	ID=AT1G11510.TAIR10;Name=AT1G11510
Chr1	9288900	TRUE	9286643	9289969	ID=AT1G26810.TAIR10;Name=AT1G26810
Chr1	9144178	TRUE	9143967	9146050	ID=AT1G26440.TAIR10;Name=AT1G26440
Chr1	7101977	TRUE	7100502	7102915	ID=AT1G20500.TAIR10;Name=AT1G20500
Chr1	6254997	TRUE	6254229	6255690	ID=AT1G18170.TAIR10;Name=AT1G18170
Chr1	5179678	TRUE	5177529	5180049	ID=AT1G15030.TAIR10;Name=AT1G15030
Chr1	4127244	TRUE	4126066	4128310	ID=AT1G12160.TAIR10;Name=AT1G12160
Chr1	4146677	TRUE	4144572	4147911	ID=AT1G12220.TAIR10;Name=AT1G12220
Chr1	10946028	TRUE	10944913	10949458	ID=AT1G30820.TAIR10;Name=AT1G30820
Chr1	4202534	TRUE	4200876	4206404	ID=AT1G12360.TAIR10;Name=AT1G12360
Chr1	7509470	TRUE	7508969	7511801	ID=AT1G21450.TAIR10;Name=AT1G21450
Chr1	6501276	TRUE	6500848	6504413	ID=AT1G18840.TAIR10;Name=AT1G18840
Chr1	13899666	TRUE	13898210	13900831	ID=AT1G36730.TAIR10;Name=AT1G36730
