Chrom1	Chrom1_binstart	Chrom2	Chrom2_binstart	Gaetan_aa_C_102	LC_C_1_21_ctrl	LC_C_22_36_ctrl2	CNV_related	Size
Chr1	2564500	Chr1	6214500	36	0	0	Two	Tr
Chr1	2569000	Chr1	5554000	26	0	0	Two	Tr
Chr1	2575000	Chr1	3820000	30	0	0	Two	Tr
Chr1	2579000	Chr1	10225000	44	0	0	Two	Tr
Chr1	2587000	Chr1	14296500	20	0	0	Two	Tr
Chr1	2608000	Chr1	8662000	32	0	0	Two	Tr
Chr1	2622500	Chr1	13074000	38	0	0	Two	Tr
Chr1	2689500	Chr1	10297000	21	0	0	Two	Tr
Chr1	2718500	Chr1	9211000	38	0	0	Two	Tr
Chr1	2731500	Chr1	6357000	25	0	0	Two	Tr
Chr1	2938500	Chr1	9468000	38	0	0	Two	Tr
Chr1	3017000	Chr1	10222500	36	0	0	Two	Tr
Chr1	3123000	Chr1	6046000	27	0	0	Two	Tr
Chr1	3141500	Chr1	6167500	23	0	0	Two	Tr
Chr1	3143000	Chr1	12396500	66	0	0	Two	Tr
Chr1	3235000	Chr1	12353500	33	0	0	Two	Tr
Chr1	3242000	Chr1	13158500	27	0	0	Two	Tr
Chr1	3250000	Chr1	10359000	21	0	0	Two	Tr
Chr1	3264500	Chr1	11530000	35	0	0	Two	Tr
Chr1	3327500	Chr1	10352500	29	0	0	Two	Tr
Chr1	3367000	Chr1	4479500	43	0	0	Two	Tr
Chr1	3391500	Chr1	3694500	43	0	0	Two	Tr
Chr1	3408500	Chr1	3797500	22	0	0	Two	Tr
Chr1	3454000	Chr1	3648500	24	0	0	Two	Tr
Chr1	3456500	Chr1	10221000	20	0	0	Two	Tr
Chr1	3496000	Chr1	6434500	36	0	0	Two	Tr
Chr1	3503000	Chr1	6831000	63	0	0	Two	Tr
Chr1	3513000	Chr1	6086500	22	0	0	Two	Tr
Chr1	3525500	Chr1	10428500	34	0	0	Two	Tr
Chr1	3534500	Chr1	3808500	29	0	0	Two	Tr
Chr1	3572500	Chr1	7735000	31	0	0	Two	Tr
Chr1	3581500	Chr1	10901500	31	0	0	Two	Tr
Chr1	3582000	Chr1	10901500	28	0	0	Two	Tr
Chr1	3585500	Chr1	9696500	25	0	0	Two	Tr
Chr1	3614000	Chr1	3632000	26	0	0	Two	Tr
Chr1	3624500	Chr1	6355500	24	0	0	Two	Tr
Chr1	3630500	Chr1	9959500	23	0	0	Two	Tr
Chr1	3631000	Chr1	4717000	45	0	0	Two	Tr
Chr1	3713500	Chr1	9144000	37	0	0	Two	Tr
Chr1	3733500	Chr1	5138500	46	0	0	Two	Tr
Chr1	3740500	Chr1	5941000	23	0	0	Two	Tr
Chr1	3747000	Chr1	4007000	22	0	0	Two	Tr
Chr1	3847000	Chr1	11576000	26	0	0	Two	Tr
Chr1	3847500	Chr1	11242000	22	0	0	Two	Tr
Chr1	3861500	Chr1	11142000	25	0	0	Two	Tr
Chr1	3862000	Chr1	11142000	25	0	0	Two	Tr
Chr1	3871500	Chr1	9033500	63	0	0	Two	Tr
Chr1	3893000	Chr1	6286500	26	0	0	Two	Tr
Chr1	3908500	Chr1	9288500	33	0	0	Two	Tr
Chr1	3937500	Chr1	7101500	26	0	0	Two	Tr
Chr1	3937500	Chr1	9144000	41	0	0	Two	Tr
Chr1	3970500	Chr1	6254500	26	0	0	Two	Tr
Chr1	3970500	Chr1	6255000	22	0	0	Two	Tr
Chr1	3989500	Chr1	5179500	43	0	0	Two	Tr
Chr1	4120500	Chr1	10738000	34	0	0	Two	Tr
Chr1	4127000	Chr1	9555000	26	0	0	Two	Tr
Chr1	4146500	Chr1	11712000	26	0	0	Two	Tr
Chr1	4189500	Chr1	10945500	20	0	0	Two	Tr
Chr1	4202500	Chr1	8386500	20	0	0	Two	Tr
Chr1	4219000	Chr1	10383500	23	0	0	Two	Tr
Chr1	4243500	Chr1	10054500	33	0	0	Two	Tr
Chr1	4244500	Chr1	7509500	23	0	0	Two	Tr
Chr1	4355500	Chr1	10314000	22	0	0	Two	Tr
Chr1	4414000	Chr1	6501000	32	0	0	Two	Tr
Chr1	4456000	Chr1	9210000	45	0	0	Two	Tr
Chr1	4461000	Chr1	13899500	23	0	0	Two	Tr
Chr1	4529500	Chr1	11292000	20	0	0	Two	Tr
Chr1	4548000	Chr1	8572500	31	0	0	Two	Tr
Chr1	4613000	Chr1	9846500	22	0	0	Two	Tr
Chr1	4633000	Chr1	8695500	25	0	0	Two	Tr
Chr1	4645000	Chr1	7334000	37	0	0	Two	Tr
Chr1	4645000	Chr1	9605000	42	0	0	Two	Tr
Chr1	4653500	Chr1	10062500	43	0	0	Two	Tr
Chr1	4670500	Chr1	8466000	23	0	0	Two	Tr
Chr1	4704000	Chr1	9481000	33	0	0	Two	Tr
Chr1	4740500	Chr1	11673500	29	0	0	Two	Tr
Chr1	4753000	Chr1	8371000	26	0	0	Two	Tr
Chr1	4753500	Chr1	9533500	32	0	0	Two	Tr
Chr1	4787000	Chr1	11769000	31	0	0	Two	Tr
Chr1	4788000	Chr1	11122000	31	0	0	Two	Tr
Chr1	4806500	Chr1	10247500	21	0	0	Two	Tr
Chr1	4811000	Chr1	12868000	24	0	0	Two	Tr
Chr1	4818000	Chr1	8982500	26	0	0	Two	Tr
Chr1	4822000	Chr1	8507000	39	0	0	Two	Tr
Chr1	4835000	Chr1	10158000	37	0	0	Two	Tr
Chr1	4919000	Chr1	5465000	41	0	0	Two	Tr
Chr1	4954500	Chr1	9040000	24	0	0	Two	Tr
Chr1	4969000	Chr1	9457000	28	0	0	Two	Tr
Chr1	5005500	Chr1	6265500	20	0	0	Two	Tr
Chr1	5109000	Chr1	7592500	35	0	0	Two	Tr
Chr1	5141500	Chr1	11469500	32	0	0	Two	Tr
Chr1	5141500	Chr1	11470000	27	0	0	Two	Tr
Chr1	5150500	Chr1	9600500	30	0	0	Two	Tr
Chr1	5165000	Chr1	6124000	21	0	0	Two	Tr
Chr1	5171500	Chr1	10797500	34	0	0	Two	Tr
Chr1	5182500	Chr1	10740500	36	0	0	Two	Tr
Chr1	5210500	Chr1	8867000	28	0	0	Two	Tr
Chr1	5210500	Chr1	10050000	43	0	0	Two	Tr
Chr1	5249500	Chr1	9731000	38	0	0	Two	Tr
Chr1	5363000	Chr1	13206500	29	0	0	Two	Tr
Chr1	5418500	Chr1	11846500	42	0	0	Two	Tr
Chr1	5419000	Chr1	10964500	28	0	0	Two	Tr
Chr1	5498500	Chr1	6136500	25	0	0	Two	Tr
Chr1	5513000	Chr1	8658500	24	0	0	Two	Tr
Chr1	5540000	Chr1	7293500	38	0	0	Two	Tr
Chr1	5547500	Chr1	7906500	30	0	0	Two	Tr
Chr1	5575000	Chr1	11668000	27	0	0	Two	Tr
Chr1	5575000	Chr1	12386000	33	0	0	Two	Tr
Chr1	5628000	Chr1	13055000	28	0	0	Two	Tr
Chr1	5635500	Chr1	13054000	48	0	0	Two	Tr
Chr1	5662000	Chr1	6143500	41	0	0	Two	Tr
Chr1	5714000	Chr1	9603500	30	0	0	Two	Tr
Chr1	5816000	Chr1	9815000	20	0	0	Two	Tr
Chr1	5846500	Chr1	6571500	20	0	0	Two	Tr
Chr1	5858000	Chr1	7914500	33	0	0	Two	Tr
Chr1	5869500	Chr1	10388000	45	0	0	Two	Tr
Chr1	5942500	Chr1	8346500	41	0	0	Two	Tr
Chr1	5956500	Chr1	9937500	46	0	0	Two	Tr
Chr1	5989000	Chr1	10108500	23	0	0	Two	Tr
Chr1	6057000	Chr1	7591500	29	0	0	Two	Tr
Chr1	6062000	Chr1	8679000	21	0	0	Two	Tr
Chr1	6066500	Chr1	7545500	23	0	0	Two	Tr
Chr1	6069000	Chr1	7154500	50	0	0	Two	Tr
Chr1	6082000	Chr1	10469500	52	0	0	Two	Tr
Chr1	6114500	Chr1	6265500	26	0	0	Two	Tr
Chr1	6148000	Chr1	7430500	43	0	0	Two	Tr
Chr1	6216500	Chr1	6319000	29	0	0	Two	Tr
Chr1	6253500	Chr1	9455500	24	0	0	Two	Tr
Chr1	6303500	Chr1	8445000	33	0	0	Two	Tr
Chr1	6322500	Chr1	6331500	22	0	0	Two	Tr
Chr1	6369500	Chr1	10986500	30	0	0	Two	Tr
Chr1	6371000	Chr1	7022500	36	0	0	Two	Tr
Chr1	6488000	Chr1	7043500	35	0	0	Two	Tr
Chr1	6565500	Chr1	7454500	21	0	0	Two	Tr
Chr1	6608000	Chr1	9117500	27	0	0	Two	Tr
Chr1	6671500	Chr1	10791000	33	0	0	Two	Tr
Chr1	6718500	Chr1	12549000	20	0	0	Two	Tr
Chr1	6764500	Chr1	10722000	27	0	0	Two	Tr
Chr1	6789000	Chr1	9827500	21	0	0	Two	Tr
Chr1	7068500	Chr1	8663500	21	0	0	Two	Tr
Chr1	7136000	Chr1	9714500	20	0	0	Two	Tr
Chr1	7185500	Chr1	7503500	43	0	0	Two	Tr
Chr1	7215500	Chr1	9359500	23	0	0	Two	Tr
Chr1	7215500	Chr1	9360000	44	0	0	Two	Tr
Chr1	7244500	Chr1	10446000	23	0	0	Two	Tr
Chr1	7280500	Chr1	9493500	44	0	0	Two	Tr
Chr1	7287500	Chr1	11259000	34	0	0	Two	Tr
Chr1	7312000	Chr1	7434500	46	0	0	Two	Tr
Chr1	7375500	Chr1	11873500	22	0	0	Two	Tr
Chr1	7387500	Chr1	9554000	37	0	0	Two	Tr
Chr1	7430000	Chr1	9040000	32	0	0	Two	Tr
Chr1	7593000	Chr1	10907000	31	0	0	Two	Tr
Chr1	7649500	Chr1	8705000	29	0	0	Two	Tr
Chr1	7650000	Chr1	8705000	31	0	0	Two	Tr
Chr1	7655500	Chr1	8973000	28	0	0	Two	Tr
Chr1	7684000	Chr1	9421000	23	0	0	Two	Tr
Chr1	7774500	Chr1	9648000	28	0	0	Two	Tr
Chr1	7780000	Chr1	8720500	32	0	0	Two	Tr
Chr1	7891500	Chr1	11113500	25	0	0	Two	Tr
Chr1	7925000	Chr1	12383500	30	0	0	Two	Tr
Chr1	7951500	Chr1	8281000	22	0	0	Two	Tr
Chr1	8025000	Chr1	9607500	20	0	0	Two	Tr
Chr1	8047500	Chr1	9095000	25	0	0	Two	Tr
Chr1	8158500	Chr1	12158500	24	0	0	Two	Tr
Chr1	8284000	Chr1	9003500	40	0	0	Two	Tr
Chr1	8302500	Chr1	9889500	24	0	0	Two	Tr
Chr1	8351000	Chr1	9453000	58	0	0	Two	Tr
Chr1	8362500	Chr1	8525000	32	0	0	Two	Tr
Chr1	8493000	Chr1	9266500	23	0	0	Two	Tr
Chr1	8651500	Chr1	12167000	33	0	0	Two	Tr
Chr1	8674000	Chr1	11057000	28	0	0	Two	Tr
Chr1	8721500	Chr1	10219500	21	0	0	Two	Tr
Chr1	8909000	Chr1	10819000	22	0	0	Two	Tr
Chr1	8910000	Chr1	15607500	24	0	0	Two	Tr
Chr1	8998500	Chr1	9716500	25	0	0	Two	Tr
Chr1	9017500	Chr1	11238000	32	0	0	Two	Tr
Chr1	9063000	Chr1	10312500	30	0	0	Two	Tr
Chr1	9075000	Chr1	10609500	21	0	0	Two	Tr
Chr1	9346000	Chr1	10580000	23	0	0	Two	Tr
Chr1	9636500	Chr1	11372500	50	0	0	Two	Tr
Chr1	9788000	Chr1	10569500	35	0	0	Two	Tr
Chr1	10042000	Chr1	13980500	30	0	0	Two	Tr
Chr1	10394500	Chr1	11467000	26	0	0	Two	Tr
Chr1	10486000	Chr1	10785000	21	0	0	Two	Tr
Chr1	10560000	Chr1	12592000	49	0	0	Two	Tr
Chr1	10686500	Chr1	13072000	35	0	0	Two	Tr
Chr1	10950000	Chr1	11717000	28	0	0	Two	Tr
Chr1	11116000	Chr1	12157500	27	0	0	Two	Tr
Chr1	11241000	Chr1	12495500	24	0	0	Two	Tr
Chr1	11282000	Chr1	11372500	34	0	0	Two	Tr
Chr1	11739000	Chr1	12196500	23	0	0	Two	Tr
Chr1	11787000	Chr1	12144000	25	0	0	Two	Tr
Chr1	11880500	Chr1	13071000	27	0	0	Two	Tr
Chr1	16447500	Chr2	8038500	20	0	0	One	Tr
Chr1	19172000	Chr3	10542500	20	0	0	None	Tr
Chr1	19721500	Chr4	5706000	31	0	0	None	Tr
Chr1	24225000	Chr4	1458500	21	0	0	None	Tr
Chr1	28993500	Chr4	1783000	30	0	0	None	Tr
Chr1	30070000	Chr5	20936500	23	0	0	None	Tr
Chr1	30427671	Chr1	30427671	0	0	0	None	Fal
Chr2	2500	Chr3	14195500	31	0	0	None	Tr
Chr2	3000	Chr3	14196500	53	0	0	None	Tr
Chr2	601000	Chr2	603500	27	0	0	None	Tr
Chr2	1771000	Chr3	8232500	20	0	0	None	Tr
Chr2	2656000	Chr2	4536000	24	0	0	None	Tr
Chr2	6658500	Chr2	6664000	23	0	0	None	Tr
Chr2	7581000	Chr2	7584000	26	0	0	None	Tr
Chr2	12800500	Chr2	12803000	22	0	0	None	Tr
Chr2	19698289	Chr2	19698289	0	0	0	None	Fal
Chr3	7286500	Chr4	1549500	25	0	0	None	Tr
Chr3	8322500	Chr5	1342000	21	0	0	None	Tr
Chr3	9982000	Chr5	1482500	31	0	0	None	Tr
Chr3	10495500	Chr3	16688500	23	0	0	None	Tr
Chr3	12054500	Chr3	13212500	20	0	0	None	Tr
Chr3	14248000	Chr3	14251500	20	0	0	None	Tr
Chr3	14973500	Chr3	14988500	29	0	0	None	Tr
Chr3	22515000	Chr4	3684000	20	0	0	None	Tr
Chr3	23459830	Chr3	23459830	0	0	0	None	Fal
Chr4	1806500	Chr4	2895500	21	0	0	None	Tr
Chr4	2509500	Chr4	14105000	22	0	0	None	Tr
Chr4	2596500	Chr4	2602500	20	0	0	None	Tr
Chr4	9954000	Chr5	9570500	20	0	0	None	Tr
Chr4	9957500	Chr5	14836500	33	0	0	None	Tr
Chr4	12809000	Chr4	18268000	29	0	0	None	Tr
Chr4	18585056	Chr4	18585056	0	0	0	None	Fal
Chr5	9461000	Chr5	9463500	23	0	0	None	Tr
Chr5	15927000	Chr5	16688000	22	0	0	None	Tr
Chr5	26975502	Chr5	26975502	0	0	0	None	Fal
